train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 91/1000, train: loss=0.0336, val: psnr=29.5869, 2.4m 3.7h/40.8h
epoch 92/1000, train: loss=0.0341, val: psnr=29.4054, 2.4m 3.8h/40.8h
epoch 93/1000, train: loss=0.0337, val: psnr=29.6048, 2.4m 3.8h/40.8h
epoch 94/1000, train: loss=0.0339, val: psnr=29.9718, 2.4m 3.8h/40.8h
epoch 95/1000, train: loss=0.0340, val: psnr=29.4798, 2.4m 3.9h/40.8h
epoch 96/1000, train: loss=0.0339, val: psnr=29.3590, 2.4m 3.9h/40.8h
epoch 97/1000, train: loss=0.0339, val: psnr=29.6743, 2.4m 4.0h/40.8h
epoch 98/1000, train: loss=0.0337, val: psnr=29.3905, 2.4m 4.0h/40.8h
epoch 99/1000, train: loss=0.0338, val: psnr=29.8333, 2.4m 4.0h/40.7h
epoch 100/1000, train: loss=0.0338, val: psnr=29.6600, 2.4m 4.1h/40.7h
epoch 101/1000, train: loss=0.0336, val: psnr=29.8226, 2.4m 4.1h/40.7h
epoch 102/1000, train: loss=0.0339, val: psnr=29.6595, 2.4m 4.2h/40.7h
epoch 103/1000, train: loss=0.0338, val: psnr=29.6574, 2.4m 4.2h/40.7h
epoch 104/1000, train: loss=0.0336, val: psnr=29.8291, 2.4m 4.2h/40.7h
epoch 105/1000, train: loss=0.0336, val: psnr=29.6020, 2.4m 4.3h/40.7h
epoch 106/1000, train: loss=0.0336, val: psnr=29.8373, 2.4m 4.3h/40.7h
epoch 107/1000, train: loss=0.0335, val: psnr=29.3939, 2.4m 4.4h/40.7h
epoch 108/1000, train: loss=0.0339, val: psnr=29.4886, 2.4m 4.4h/40.7h
epoch 109/1000, train: loss=0.0336, val: psnr=29.3670, 2.4m 4.4h/40.7h
epoch 110/1000, train: loss=0.0337, val: psnr=29.7070, 2.4m 4.5h/40.7h
epoch 111/1000, train: loss=0.0334, val: psnr=30.0219, 2.4m 4.5h/40.7h
epoch 112/1000, train: loss=0.0337, val: psnr=29.3607, 2.4m 4.6h/40.7h
epoch 113/1000, train: loss=0.0335, val: psnr=29.7929, 2.4m 4.6h/40.7h
epoch 114/1000, train: loss=0.0336, val: psnr=29.1805, 2.4m 4.6h/40.6h
epoch 115/1000, train: loss=0.0337, val: psnr=30.0616, 2.4m 4.7h/40.6h
epoch 116/1000, train: loss=0.0336, val: psnr=29.7387, 2.4m 4.7h/40.6h
epoch 117/1000, train: loss=0.0332, val: psnr=29.7786, 2.4m 4.8h/40.6h
epoch 118/1000, train: loss=0.0334, val: psnr=29.8826, 2.4m 4.8h/40.6h
epoch 119/1000, train: loss=0.0338, val: psnr=29.7048, 2.4m 4.8h/40.6h
epoch 120/1000, train: loss=0.0337, val: psnr=29.9858, 2.4m 4.9h/40.6h
epoch 121/1000, train: loss=0.0330, val: psnr=29.7888, 2.4m 4.9h/40.6h
epoch 122/1000, train: loss=0.0332, val: psnr=29.7729, 2.4m 5.0h/40.6h
epoch 123/1000, train: loss=0.0336, val: psnr=29.5989, 2.4m 5.0h/40.6h
epoch 124/1000, train: loss=0.0335, val: psnr=29.8515, 2.4m 5.0h/40.6h
epoch 125/1000, train: loss=0.0336, val: psnr=29.9469, 2.4m 5.1h/40.6h
epoch 126/1000, train: loss=0.0334, val: psnr=29.9668, 2.4m 5.1h/40.6h
epoch 127/1000, train: loss=0.0332, val: psnr=29.8871, 2.4m 5.2h/40.6h
epoch 128/1000, train: loss=0.0335, val: psnr=29.8774, 2.4m 5.2h/40.6h
epoch 129/1000, train: loss=0.0338, val: psnr=29.7372, 2.4m 5.2h/40.6h
