train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=2.7M
epoch 109/1000, train: loss=0.0334, val: psnr=29.9476, 7.6m 13.7h/125.7h
epoch 110/1000, train: loss=0.0337, val: psnr=29.5834, 7.0m 13.8h/125.6h
epoch 111/1000, train: loss=0.0331, val: psnr=29.5653, 7.6m 13.9h/125.6h
epoch 112/1000, train: loss=0.0336, val: psnr=29.6404, 7.6m 14.1h/125.6h
epoch 113/1000, train: loss=0.0334, val: psnr=29.7323, 7.6m 14.2h/125.6h
epoch 114/1000, train: loss=0.0337, val: psnr=29.5741, 7.6m 14.3h/125.6h
epoch 115/1000, train: loss=0.0335, val: psnr=29.8122, 7.6m 14.4h/125.6h
epoch 116/1000, train: loss=0.0332, val: psnr=29.8819, 7.5m 14.6h/125.6h
epoch 117/1000, train: loss=0.0335, val: psnr=29.5727, 7.1m 14.7h/125.6h
epoch 118/1000, train: loss=0.0335, val: psnr=29.5517, 7.6m 14.8h/125.6h
epoch 119/1000, train: loss=0.0335, val: psnr=29.6090, 7.6m 14.9h/125.6h
epoch 120/1000, train: loss=0.0335, val: psnr=29.7798, 7.6m 15.1h/125.6h
epoch 121/1000, train: loss=0.0336, val: psnr=29.7409, 7.7m 15.2h/125.6h
epoch 122/1000, train: loss=0.0335, val: psnr=29.6265, 7.6m 15.3h/125.6h
epoch 123/1000, train: loss=0.0331, val: psnr=29.8656, 6.9m 15.4h/125.6h
epoch 124/1000, train: loss=0.0331, val: psnr=29.7112, 7.6m 15.6h/125.6h
epoch 125/1000, train: loss=0.0332, val: psnr=29.8358, 7.6m 15.7h/125.6h
epoch 126/1000, train: loss=0.0330, val: psnr=29.6086, 7.6m 15.8h/125.6h
epoch 127/1000, train: loss=0.0328, val: psnr=29.9909, 7.5m 15.9h/125.6h
epoch 128/1000, train: loss=0.0331, val: psnr=29.9171, 7.6m 16.1h/125.6h
