train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 152/1000, train: loss=0.0330, val: psnr=29.5497, 3.0m 8.1h/53.3h
epoch 153/1000, train: loss=0.0332, val: psnr=29.6609, 2.7m 8.1h/53.2h
epoch 154/1000, train: loss=0.0333, val: psnr=29.9743, 3.1m 8.2h/53.2h
epoch 155/1000, train: loss=0.0330, val: psnr=29.9193, 3.2m 8.2h/53.2h
epoch 156/1000, train: loss=0.0334, val: psnr=29.8820, 3.1m 8.3h/53.2h
epoch 157/1000, train: loss=0.0330, val: psnr=29.5526, 3.1m 8.4h/53.2h
epoch 158/1000, train: loss=0.0324, val: psnr=29.6054, 3.2m 8.4h/53.2h
epoch 159/1000, train: loss=0.0330, val: psnr=29.7756, 3.1m 8.5h/53.2h
epoch 160/1000, train: loss=0.0331, val: psnr=29.8061, 3.1m 8.5h/53.2h
epoch 161/1000, train: loss=0.0329, val: psnr=29.6188, 3.1m 8.6h/53.2h
epoch 162/1000, train: loss=0.0329, val: psnr=29.8173, 3.2m 8.6h/53.2h
epoch 163/1000, train: loss=0.0333, val: psnr=29.9434, 3.2m 8.7h/53.2h
epoch 164/1000, train: loss=0.0330, val: psnr=29.9722, 3.1m 8.7h/53.2h
epoch 165/1000, train: loss=0.0331, val: psnr=29.4061, 3.1m 8.8h/53.2h
epoch 166/1000, train: loss=0.0328, val: psnr=29.9566, 3.2m 8.8h/53.2h
epoch 167/1000, train: loss=0.0333, val: psnr=29.5113, 3.2m 8.9h/53.1h
epoch 168/1000, train: loss=0.0328, val: psnr=29.7027, 3.1m 8.9h/53.1h
epoch 169/1000, train: loss=0.0326, val: psnr=29.4265, 2.9m 9.0h/53.1h
epoch 170/1000, train: loss=0.0330, val: psnr=29.4168, 2.8m 9.0h/53.1h
epoch 171/1000, train: loss=0.0324, val: psnr=30.1034, 3.1m 9.1h/53.1h
epoch 172/1000, train: loss=0.0329, val: psnr=29.7798, 3.1m 9.1h/53.1h
epoch 173/1000, train: loss=0.0329, val: psnr=29.7761, 3.1m 9.2h/53.1h
epoch 174/1000, train: loss=0.0326, val: psnr=29.9110, 3.2m 9.2h/53.1h
epoch 175/1000, train: loss=0.0330, val: psnr=29.8772, 3.1m 9.3h/53.1h
epoch 176/1000, train: loss=0.0327, val: psnr=29.6873, 3.1m 9.3h/53.1h
epoch 177/1000, train: loss=0.0331, val: psnr=29.6065, 3.1m 9.4h/53.0h
epoch 178/1000, train: loss=0.0331, val: psnr=29.8037, 3.1m 9.4h/53.0h
epoch 179/1000, train: loss=0.0327, val: psnr=29.7303, 3.1m 9.5h/53.0h
epoch 180/1000, train: loss=0.0329, val: psnr=29.6863, 3.1m 9.5h/53.0h
epoch 181/1000, train: loss=0.0332, val: psnr=30.1095, 3.1m 9.6h/53.0h
epoch 182/1000, train: loss=0.0323, val: psnr=29.7817, 3.1m 9.6h/53.0h
epoch 183/1000, train: loss=0.0329, val: psnr=29.7245, 3.1m 9.7h/53.0h
epoch 184/1000, train: loss=0.0327, val: psnr=29.7673, 3.1m 9.8h/53.0h
epoch 185/1000, train: loss=0.0326, val: psnr=29.6815, 3.1m 9.8h/53.0h
epoch 186/1000, train: loss=0.0328, val: psnr=29.8605, 2.9m 9.9h/53.0h
epoch 187/1000, train: loss=0.0325, val: psnr=29.8687, 2.8m 9.9h/52.9h
epoch 188/1000, train: loss=0.0327, val: psnr=29.6687, 3.1m 10.0h/52.9h
epoch 189/1000, train: loss=0.0329, val: psnr=29.5876, 3.1m 10.0h/52.9h
epoch 190/1000, train: loss=0.0330, val: psnr=29.8561, 3.1m 10.1h/52.9h
epoch 191/1000, train: loss=0.0331, val: psnr=30.3973, 3.1m 10.1h/52.9h
epoch 192/1000, train: loss=0.0329, val: psnr=29.7714, 3.1m 10.2h/52.9h
epoch 193/1000, train: loss=0.0329, val: psnr=29.7875, 3.1m 10.2h/52.9h
epoch 194/1000, train: loss=0.0328, val: psnr=29.7882, 3.1m 10.3h/52.9h
epoch 195/1000, train: loss=0.0330, val: psnr=29.7000, 3.1m 10.3h/52.9h
epoch 196/1000, train: loss=0.0326, val: psnr=29.6670, 3.2m 10.4h/52.9h
epoch 197/1000, train: loss=0.0326, val: psnr=29.9602, 3.2m 10.4h/52.9h
epoch 198/1000, train: loss=0.0327, val: psnr=29.5565, 3.1m 10.5h/52.9h
epoch 199/1000, train: loss=0.0322, val: psnr=30.0104, 3.1m 10.5h/52.9h
